city_ascii;province_id;province_name;lat;lng;population;density
Notre-Dame-des-Neiges;QC;Quebec;48.1167;-69.1667;1129;12
Saint-Andre;NB;New Brunswick;47.1392;-67.7444;1129;8.8
Centreville;NS;Nova Scotia;45.13;-64.5224;1129;477.5
Roland;MB;Manitoba;49.3547;-97.8997;1129;2.3
Saint-Leon-de-Standon;QC;Quebec;46.4833;-70.6167;1128;8.2
Saint-Modeste;QC;Quebec;47.8333;-69.4;1128;10.3
Carnduff;SK;Saskatchewan;49.167;-101.783;1126;498.2
Carling;ON;Ontario;45.4333;-80.2167;1125;4.5
Eckville;AB;Alberta;52.3622;-114.3614;1125;703.3
Nain;NL;Newfoundland and Labrador;56.5422;-61.6928;1125;11.9
Hillsburgh;ON;Ontario;43.7914;-80.1354;1124;384.9
Foam Lake;SK;Saskatchewan;51.65;-103.5333;1123;189.4
Sainte-Sabine;QC;Quebec;45.2333;-73.0167;1120;20.3
Saint-Maxime-du-Mont-Louis;QC;Quebec;49.2333;-65.7333;1118;4.8
Blanc-Sablon;QC;Quebec;51.4167;-57.1333;1118;4.5
Cobalt;ON;Ontario;47.4;-79.6833;1118;776
Gravelbourg;SK;Saskatchewan;49.874;-106.555;1116;346
South River;ON;Ontario;45.8417;-79.375;1114;268.3
Hudson Bay No. 394;SK;Saskatchewan;53.0295;-102.3122;1114;0.1
McKellar;ON;Ontario;45.4833;-79.85;1111;6.1
Frelighsburg;QC;Quebec;45.0461;-72.8106;1111;9
Buffalo Narrows;SK;Saskatchewan;55.8769;-108.5244;1110;16.2
Ayer's Cliff;QC;Quebec;45.1667;-72.05;1109;197.9
Les Mechins;QC;Quebec;49;-66.9833;1107;2.5
Sainte-Marguerite;QC;Quebec;46.5167;-70.9333;1107;12.9
Saint-Claude;QC;Quebec;45.6667;-71.9833;1106;9.3
Air Ronge;SK;Saskatchewan;55.0872;-105.3318;1106;184.3
Chipman;NB;New Brunswick;46.171;-65.884;1104;58
Girardville;QC;Quebec;49;-72.55;1100;8.9
Saint-Bruno-de-Guigues;QC;Quebec;47.4667;-79.4333;1100;8.8
Grenfell;SK;Saskatchewan;50.4167;-102.9167;1099;347
Dorchester;NB;New Brunswick;45.9016;-64.5161;1096;189.3
South Algonquin;ON;Ontario;45.4967;-78.0239;1096;1.3
Windermere;BC;British Columbia;50.4856;-115.9948;1092;104
Saint-Narcisse-de-Beaurivage;QC;Quebec;46.4833;-71.2333;1091;17.6
Saint-Rene-de-Matane;QC;Quebec;48.7;-67.3833;1089;4.3
Sainte-Jeanne-d'Arc;QC;Quebec;48.8575;-72.0939;1089;4
Plaisance;QC;Quebec;45.6167;-75.1167;1088;30.1
Roxton-Sud;QC;Quebec;45.5521;-72.5265;1086;7.3
St. Louis No. 431;SK;Saskatchewan;52.8277;-105.7873;1086;1.4
Youbou;BC;British Columbia;48.8562;-124.1731;1086;122.8
Duchess;AB;Alberta;50.7333;-111.9;1085;553.4
Saint-Frederic;QC;Quebec;46.3;-70.9667;1085;14.9
Viking;AB;Alberta;53.0953;-111.7769;1083;292.5
Sioux Narrows-Nestor Falls;ON;Ontario;49.4;-94.08;1082;0.5
Whitecourt;AB;Alberta;54.1417;-115.6833;1082;386
Repulse Bay;NU;Nunavut;66.5628;-86.3186;1082;2.6
Montreal-Est;QC;Quebec;45.63;-73.52;1082;299.4
King;ON;Ontario;44.0463;-79.6044;1082;73.6
Regina Beach;SK;Saskatchewan;50.79;-104.99;1081;462.4
Saint-Patrice-de-Beaurivage;QC;Quebec;46.4167;-71.2333;1080;12.6
Ootischenia;BC;British Columbia;49.2916;-117.6323;1080;135.4
Hensall;ON;Ontario;43.4345;-81.504;1078;569
Bentley;AB;Alberta;52.4667;-114.05;1078;482.2
Durham;NB;New Brunswick;47.7631;-66.0849;1076;2.6
Sainte-Marthe;QC;Quebec;45.4;-74.3;1075;13.5
Notre-Dame-du-Nord;QC;Quebec;47.6;-79.4833;1075;14.3
Pinehouse;SK;Saskatchewan;55.5136;-106.5986;1074;142.9
Saint-Aime-des-Lacs;QC;Quebec;47.6833;-70.3;1073;11.6
Lac-Drolet;QC;Quebec;45.72;-70.85;1071;8.6
Preeceville;SK;Saskatchewan;51.958;-102.6673;1070;0.7
Maple Creek No. 111;SK;Saskatchewan;49.8044;-109.6508;1068;0.3
Harbour Main-Chapel's Cove-Lakeview;NL;Newfoundland and Labrador;47.4337;-53.1458;1067;50.6
Saint-Wenceslas;QC;Quebec;46.1667;-72.3333;1064;13.3
Weyburn No. 67;SK;Saskatchewan;49.6535;-103.8348;1064;1.3
Birch Hills;SK;Saskatchewan;52.9833;-105.4333;1064;468.4
Wedgeport;NS;Nova Scotia;43.7323;-65.9797;1061;109.3
Kerrobert;SK;Saskatchewan;51.92;-109.1272;1061;141.7
Havelock;NB;New Brunswick;45.9523;-65.3885;1061;3
Eston;SK;Saskatchewan;51.15;-108.75;1061;390.3
Sainte-Genevieve-de-Batiscan;QC;Quebec;46.5333;-72.3333;1060;10.8
Saint-Justin;QC;Quebec;46.25;-73.0833;1060;13.5
Saint-Norbert;QC;Quebec;46.1667;-73.3167;1059;14.1
Schreiber;ON;Ontario;48.8167;-87.2667;1059;28.8
Trochu;AB;Alberta;51.8236;-113.2328;1058;381.1
Botsford;NB;New Brunswick;46.1145;-63.9804;1058;3.5
Riviere-Ouelle;QC;Quebec;47.4333;-70.0167;1058;18.6
Greenwich;NB;New Brunswick;45.5112;-66.1229;1058;9.2
Stukely-Sud;QC;Quebec;45.3167;-72.4167;1058;15.8
Saint-Georges-de-Clarenceville;QC;Quebec;45.0667;-73.25;1056;16.6
Sainte-Therese-de-Gaspe;QC;Quebec;48.4167;-64.4167;1055;31.5
Beachburg;ON;Ontario;45.7303;-76.8559;1054;242.8
Desbiens;QC;Quebec;48.4167;-71.95;1053;101.1
Clyde River;NU;Nunavut;70.4632;-68.4822;1053;9.9
La Macaza;QC;Quebec;46.3667;-74.7667;1053;6.5
Souris;PE;Prince Edward Island;46.3554;-62.2542;1053;303.7
Kindersley No. 290;SK;Saskatchewan;51.4894;-109.0979;1049;0.5
Laird;ON;Ontario;46.3833;-84.0667;1047;10.2
Falher;AB;Alberta;55.7372;-117.2014;1047;376.4
Saint-Vallier;QC;Quebec;46.8833;-70.8167;1046;23.4
Coleraine;QC;Quebec;45.9649;-71.3734;1043;249.9
Melita;MB;Manitoba;49.2681;-100.9958;1042;342.7
Noonan;NB;New Brunswick;45.9544;-66.4868;1042;13.7
Sainte-Petronille;QC;Quebec;46.85;-71.1333;1041;227.2
Delisle;SK;Saskatchewan;51.9254;-107.1333;1038;310.2
Bristol;QC;Quebec;45.5333;-76.4667;1036;5
Mahone Bay;NS;Nova Scotia;44.4489;-64.3819;1036;332.1
Waldheim;SK;Saskatchewan;52.65;-106.6167;1035;525.5
Saint-Sylvestre;QC;Quebec;46.3667;-71.2333;1035;7.1
Taloyoak;NU;Nunavut;69.5554;-93.4972;1029;27.3
Onoway;AB;Alberta;53.7011;-114.1981;1029;310.3
Saint-Stanislas;QC;Quebec;46.6167;-72.4;1029;11.5
